Да, и?	Sí, ¿y?	да	0	0
Не си го сакам училиштето.	No me gusta mi escuela.	не	0	0
Ова се моите пријатели.	Ellos son mis amigos.	се	0	0
Човекот е грешен.	El hombre es pecador.	е	0	0
Како е на работа?	¿Qué tal el trabajo?	на	0	0
Точно е тоа што го вели Том.	Es cierto lo que dice Tom.	го	0	0
Изгледа и двајцата сме малку поспани.	Supongo que ambos estamos con un poco de sueño.	и	0	0
Том не може да излезе затоа што има многу домашни задачи.	Tom no puede salir porque tiene mucha tarea.	што	0	0
Ќе умреш.	Vas a morir.	ќе	0	0
Немам дом во којшто би можел да се вратам.	No tengo hogar al que volver.	во	0	0
Се гледаме за два дена.	Nos vemos en dos días.	за	0	0
Го знаеше тоа кога се омажи за мене.	Lo sabías cuando te casaste conmigo.	тоа	0	0
Сестра ти спие.	Tu hermana duerme.	ти	0	0
Последниот човек комушто му ја кажав својата идеја мислеше дека сум чукнат.	La última persona a la que le conté mi idea pensó que yo estaba loco.	дека	0	0
Ми се смачи од карање.	Estoy harto de discutir.	од	0	0
Сакаме да зборуваме со Том.	Deseamos hablar con Tom.	со	0	0
Раскажи ми за Том.	Cuéntame de Tom.	ми	0	0
Не си Јапонец.	No eres japonés.	си	0	0
Последниот човек комушто му ја кажав својата идеја мислеше дека сум чукнат.	La última persona a la que le conté mi idea pensó que yo estaba loco.	ја	0	0
Не знам како се пишува тој збор.	No sé cómo se escribe esa palabra.	како	0	0
Таа замина, но јас се уште ја љубам.	Ella se fue, pero yo todavía la amo.	јас	0	0
Еве ги проблемите.	Aquí vienen los problemas.	ги	0	0
Ова се моите пријатели.	Ellos son mis amigos.	ова	0	0
По пижами сум.	Estoy en piyama.	сум	0	0
Ќе се погрижиш ли да бидат добро нахранети?	¿Te encargarías de que estén bien alimentados?	добро	0	0
Том избега кога ме виде.	Tom huyó cuando me vio.	ме	0	0
Секако, те памтам.	Claro que te recuerdo.	те	0	0
Том има само една нога.	Tom tiene una sola pierna.	само	0	0
Полудел ли Том?	¿Tom se volvió loco?	ли	0	0
Том и вети на Мери дека нема да доцни.	Tom le prometió a Mary que no llegaría tarde.	нема	0	0
Таа замина, но јас се уште ја љубам.	Ella se fue, pero yo todavía la amo.	но	0	0
А ти?	¿Y tú?	а	0	0
Тој одречно одговори на моето прашање.	Él respondió a la pregunta con un “no”.	тој	0	0
Забавно ли беше?	¿Fue divertido?	беше	0	0
Том треба да си оди сега.	Tom debería irse ahora.	треба	0	0
Том избега кога ме виде.	Tom huyó cuando me vio.	кога	0	0
Том треба да си оди сега.	Tom debería irse ahora.	сега	0	0
Има многу земјотреси во Јапан.	Hay muchos terremotos en Japón.	многу	0	0
Знам дека ова е чудно.	Sé que esto es extraño.	знам	0	0
Кој сум јас?	¿Quién soy yo?	кој	0	0
Последниот човек комушто му ја кажав својата идеја мислеше дека сум чукнат.	La última persona a la que le conté mi idea pensó que yo estaba loco.	му	0	0
Таа има долга коса.	Ella tiene el pelo largo.	има	0	0
Том се дави од нешто.	Tom se está ahogando con algo.	нешто	0	0
Том не може да излезе затоа што има многу домашни задачи.	Tom no puede salir porque tiene mucha tarea.	може	0	0
Го знаеше тоа кога се омажи за мене.	Lo sabías cuando te casaste conmigo.	мене	0	0
Немам дом во којшто би можел да се вратам.	No tengo hogar al que volver.	би	0	0
Каде е вотката?	¿Dónde está el vodka?	каде	0	0
Сакам торти.	Me gustan las tartas.	сакам	0	0
Том припаѓа тука.	Tom pertenece aquí.	тука	0	0
Не сум мртов, така?	No estoy muerto, ¿no?	така	0	0
Зошто си толку зафатен?	¿Por qué estás tan ocupado?	зошто	0	0
Здраво на сите.	Hola a todos.	сите	0	0
Мој ред ли е?	¿Es mi turno?	ред	0	0
Кој ќе ни верува?	¿Quién nos va a creer?	ни	0	0
Педер сум, па што?	Soy gay, ¿y qué?	па	0	0
Том е овде.	Tom está aquí.	овде	0	0
Таа замина, но јас се уште ја љубам.	Ella se fue, pero yo todavía la amo.	таа	0	0
Можам да ја замолам да помогне.	Puedo pedirle a ella que ayude.	можам	0	0
Доброто што го правиш денес, ќе биде утре заборавено, сепак, прави добро.	El bien que hagas hoy será olvidado mañana. Haz el bien de todos modos.	биде	0	0
По пижами сум.	Estoy en piyama.	по	0	0
Сакаш ли куглање?	¿Te gusta el boliche?	сакаш	0	0
Таа замина, но јас се уште ја љубам.	Ella se fue, pero yo todavía la amo.	уште	0	0
Имам време.	Tengo tiempo.	време	0	0
Не се стига таму со воз.	No se llega allí en tren.	таму	0	0
Изгледа и двајцата сме малку поспани.	Supongo que ambos estamos con un poco de sueño.	сме	0	0
Том мора да е од Бостон.	Tom debe ser de Boston.	мора	0	0
Не јади одма пред спиење.	No comas justo antes de dormir.	пред	0	0
Јас имам пивски стомак.	Tengo barriga cervecera.	имам	0	0
Ве молам говорете погласно!	¡Habla más fuerte, por favor!	ве	0	0
Изгледа и двајцата сме малку поспани.	Supongo que ambos estamos con un poco de sueño.	малку	0	0
Те молам, измиј ми го грбот.	Por favor, lávame la espalda.	молам	0	0
Том е навистина многу фин.	Tom es realmente muy simpático.	навистина	0	0
Колку сестри имаш?	¿Cuántas hermanas tienes?	колку	0	0
Како е на работа?	¿Qué tal el trabajo?	работа	0	0
Том треба да си оди сега.	Tom debería irse ahora.	оди	0	0
Здраво на сите.	Hola a todos.	здраво	0	0
Сите изгледате толку среќно.	Todos ustedes se ven tan felices.	толку	0	0
Никогаш не го користи зборот „бомба“ на авион.	Nunca uses la palabra "bomba" en el avión.	никогаш	0	0
Имаш ли нож?	¿Tienes un cuchillo?	имаш	0	0
Ќе им се јавам утре.	Los llamaré mañana.	им	0	0
Кои се твоите непријатели?	¿Quiénes son tus enemigos?	кои	0	0
Том не може да излезе затоа што има многу домашни задачи.	Tom no puede salir porque tiene mucha tarea.	затоа	0	0
Том има само една нога.	Tom tiene una sola pierna.	една	0	0
Мојата тиква беше најдобра.	Mi calabaza fue la mejor.	мојата	0	0
Овој подарок е од нас.	Este regalo es de nosotros.	овој	0	0
Немам веќе пари.	Ya no tengo dinero.	веќе	0	0
Оваа книга не се работи за лингвистика.	Este libro no se trata de lingüística.	работи	0	0
Одам.	Voy.	одам	0	0
Последниот човек комушто му ја кажав својата идеја мислеше дека сум чукнат.	La última persona a la que le conté mi idea pensó que yo estaba loco.	човек	0	0
Погледнете сега како луѓето не обвинуваат нас боговите за сето она што е продукт на нивното сопствено лудило.	Vean ahora como los hombres nos echan la culpa a nosotros los dioses por todo lo que ha sido producto de su propia locura.	нас	0	0
Секој ден ли јадеш ориз?	¿Comes arroz todos los días?	ден	0	0
Оваа книга не се работи за лингвистика.	Este libro no se trata de lingüística.	оваа	0	0
Доброто што го правиш денес, ќе биде утре заборавено, сепак, прави добро.	El bien que hagas hoy será olvidado mañana. Haz el bien de todos modos.	правиш	0	0
Оди види се со Том.	Ve a ver a Tom.	види	0	0
Изгледа и двајцата сме малку поспани.	Supongo que ambos estamos con un poco de sueño.	изгледа	0	0
Кажи ми што стана?	Dime qué pasó.	кажи	0	0
Дома ли е Том?	¿Está Tom en casa?	дома	0	0
Мери е мајка ми.	Mary es mi madre.	мајка	0	0
Мајка ми не може да дојде.	Mi madre no puede venir.	дојде	0	0
Погледнете сега како луѓето не обвинуваат нас боговите за сето она што е продукт на нивното сопствено лудило.	Vean ahora como los hombres nos echan la culpa a nosotros los dioses por todo lo que ha sido producto de su propia locura.	луѓето	0	0
Каков итен случај било тоа?	¿Qué clase de emergencia era?	било	0	0
Погледнете сега како луѓето не обвинуваат нас боговите за сето она што е продукт на нивното сопствено лудило.	Vean ahora como los hombres nos echan la culpa a nosotros los dioses por todo lo que ha sido producto de su propia locura.	она	0	0
Секако, те памтам.	Claro que te recuerdo.	секако	0	0
Секој ден ли јадеш ориз?	¿Comes arroz todos los días?	секој	0	0
Том ја знае тајната.	Tom se sabe el secreto.	знае	0	0
Ова се моите пријатели.	Ellos son mis amigos.	моите	0	0
Се извини.	Se disculpó.	извини	0	0
Еве пример.	Aquí está un ejemplo.	еве	0	0
Том сигурно е од Бостон.	Tom seguramente es de Boston.	сигурно	0	0
Да не трошиме веќе пари.	Ya no gastemos dinero.	пари	0	0
Заборави дека го реков тоа.	Olvida que dije eso.	реков	0	0
Дај ми ја топката.	Dame la pelota.	дај	0	0
Слободен си да си одиш.	Eres libre de irte.	одиш	0	0
Доброто што го правиш денес, ќе биде утре заборавено, сепак, прави добро.	El bien que hagas hoy será olvidado mañana. Haz el bien de todos modos.	прави	0	0
Ќе направам сѐ што можам.	Haré lo que pueda.	направам	0	0
