Я українка.	저는 우크라이나 사람이에요.	я	0	0
Я не боюся смерті.	난 죽음이 두렵지 않다.	не	0	0
В мене багато друзів.	나는 친구가 많다.	в	0	0
Перепрошую, що змусив вас чекати так довго.	당신을 너무 오래 기다리게 해서 죄송합니다.	що	0	0
Італія - це дуже красива країна	이탈리아는 아주 아름다운 나라입니다.	це	0	0
Де ти народився?	어디에서 태어나셨습니까?	ти	0	0
Так чи ні?	예 혹은 아니오?	так	0	0
У Тома низький голос.	톰은 목소리가 낮다.	у	0	0
Бог створив небеса і землю.	하느님이 천지를 창조하셨다.	і	0	0
Я шукаю книги з історії Риму.	나는 로마의 역사에 관한 책을 찾고 있다.	з	0	0
Я люблю тебе.	사랑합니다.	тебе	0	0
Де він?	그분은 어디에 겨십니까?	він	0	0
Звіть мене Ізмаїлом.	이스마엘이라고 부르세요.	мене	0	0
Так чи ні?	예 혹은 아니오?	ні	0	0
Я тебе чую, але не бачу.	너를 들을 수 있지만, 볼 수 없어요.	але	0	0
Перепрошую, що змусив вас чекати так довго.	당신을 너무 오래 기다리게 해서 죄송합니다.	вас	0	0
Вона каже, що їй подобаються квіти.	그녀는 꽃을 좋아한다고 말했다.	вона	0	0
Так чи ні?	예 혹은 아니오?	чи	0	0
Італія - це дуже красива країна	이탈리아는 아주 아름다운 나라입니다.	дуже	0	0
Хто наступний у черзі?	이제 누구 차례지?	хто	0	0
Де будинок Тома?	톰의 집은 어디입니까?	де	0	0
Том мій друг.	톰은 나의 친구다.	мій	0	0
Дякую.	고마워!	дякую	0	0
Добрий день.	안녕하세요.	день	0	0
Будь ласка, не вбивай мене.	제발, 절 죽이지 마세요.	будь	0	0
Що роблять ті люди?	그사람들이 뭐 해요?	люди	0	0
В мене багато друзів.	나는 친구가 많다.	багато	0	0
Будь ласка, не вбивай мене.	제발, 절 죽이지 마세요.	ласка	0	0
Я люблю тебе.	사랑합니다.	люблю	0	0
Вона каже, що їй подобаються квіти.	그녀는 꽃을 좋아한다고 말했다.	їй	0	0
Том мій друг.	톰은 나의 친구다.	том	0	0
Том мій друг.	톰은 나의 친구다.	друг	0	0
Над Челябінськом у Росії вибухнув астероїд.	소행성이 러시아 첼랴빈스크 위에서 폭발했습니다.	над	0	0
Дженні хоче йти додому?	제니가 집에 가고 싶어해요?	хоче	0	0
Дженні хоче йти додому?	제니가 집에 가고 싶어해요?	додому	0	0
Пан Танака, здається, пройшов тест.	다나카 씨는 시험에 합격한 것 같습니다.	здається	0	0
Я тебе чую, але не бачу.	너를 들을 수 있지만, 볼 수 없어요.	бачу	0	0
Дженні хоче йти додому?	제니가 집에 가고 싶어해요?	йти	0	0
Що роблять ті люди?	그사람들이 뭐 해요?	ті	0	0
Це син чи донька?	아들이야, 딸이야?	син	0	0
Бог створив світ.	신이 세상을 창조하였다.	світ	0	0
Бог створив небеса і землю.	하느님이 천지를 창조하셨다.	бог	0	0
Добрий день.	안녕하세요.	добрий	0	0
Перепрошую, що змусив вас чекати так довго.	당신을 너무 오래 기다리게 해서 죄송합니다.	довго	0	0
Вона каже, що їй подобаються квіти.	그녀는 꽃을 좋아한다고 말했다.	каже	0	0
Я бажаю вивчати китайську наступного року.	나는 내년에 중국어를 배우고 싶다.	року	0	0
Де будинок Тома?	톰의 집은 어디입니까?	будинок	0	0
Я не боюся смерті.	난 죽음이 두렵지 않다.	смерті	0	0
Пан Танака, здається, пройшов тест.	다나카 씨는 시험에 합격한 것 같습니다.	пан	0	0
Бог створив небеса і землю.	하느님이 천지를 창조하셨다.	землю	0	0
Побачимось пізніше!	나중에 보자!	пізніше	0	0
Я не вірю.	못 믿어.	вірю	0	0
У Тома низький голос.	톰은 목소리가 낮다.	голос	0	0
Здоров.	안녕하세요.	здоров	0	0
Я не боюся смерті.	난 죽음이 두렵지 않다.	боюся	0	0
Я бажаю вивчати китайську наступного року.	나는 내년에 중국어를 배우고 싶다.	наступного	0	0
Слава Україні!	우크라이나에 영광을!	слава	0	0
Перепрошую, що змусив вас чекати так довго.	당신을 너무 오래 기다리게 해서 죄송합니다.	перепрошую	0	0
Що роблять ті люди?	그사람들이 뭐 해요?	роблять	0	0
Перепрошую, що змусив вас чекати так довго.	당신을 너무 오래 기다리게 해서 죄송합니다.	чекати	0	0
Не зрозумійте мене неправильно.	오해하지 마세요.	неправильно	0	0
В мене багато друзів.	나는 친구가 많다.	друзів	0	0
Я шукаю книги з історії Риму.	나는 로마의 역사에 관한 책을 찾고 있다.	історії	0	0
Я тебе чую, але не бачу.	너를 들을 수 있지만, 볼 수 없어요.	чую	0	0
Хто наступний у черзі?	이제 누구 차례지?	наступний	0	0
Я шукаю книги з історії Риму.	나는 로마의 역사에 관한 책을 찾고 있다.	книги	0	0
Я шукаю книги з історії Риму.	나는 로마의 역사에 관한 책을 찾고 있다.	шукаю	0	0
