Mi tute ne komprenis, al kio celas la demando.	Di ko talagang naintindihan ang kasaysayan ng tanong.	la	0	0
Li furiozis al mi, ĉar mi rompis nian rilaton.	Nagalit siya sa akin dahil sinira ko ang relasyon namin.	mi	0	0
Ĉu vi lernas la anglan?	Nag-aaral ka ba ng Ingles?	vi	0	0
Kiu ne povas konstrui bonajn frazojn, ne povas konstrui bonajn aŭtojn.	Sinumang hindi nakakagawa ng magaling na pangungusap ay hindi nakakagawa ng magaling na awto.	ne	0	0
Vi estas tre brava.	Talagang matapang ka.	estas	0	0
Rozo estas floro kaj kolombo estas birdo.	Bulaklak ang rosas at ibon ang kalapati.	kaj	0	0
Ĉu vi venis per trajno?	Dumating ka ba nang tren?	ĉu	0	0
Sami forgesis la nomon de Layla.	Nakalimutan ni Sami ang pangalan ni Layla.	de	0	0
Tio tute ne rilatas al tiu problemo.	Iyon ay talagang walang relasyon sa problemang iyon.	al	0	0
Ni liberigis vin de granda angoro.	Pinaligtas namin kayo sa malaking dalita.	ni	0	0
Tio estas nur en fabeloj...	Iyon ay sa mga kuwento lamang...	en	0	0
Ĉi-matene la 16-an de oktobro de 2022, en la parko sur Lulu-insulo, irante al la picejo, mi vidis Miĥaelon la dano-franco, kiu fumis. La ĉielo estis blua. Estis sunbrile. Li diris, ke li vidis la unuan neĝan anseron ĉi-sezone.	Nitong umaga nang ika-16 ng Oktubre ng 2022, sa Isla Lulung parke, papuntang pizzeria ako, nakita ko si Michael na Danes-Pranses na naninigarilyo. Bughaw ang langit. Maaraw. Nakita raw niya ang pinakaunang niyebeng gansa nitong panahon.	li	0	0
Ĉu Tomo scias, ke ni ne povas fari tion?	Alam ba ni Tom na di natin kaya iyan?	ke	0	0
La troa atento por la danĝero, plej ofte faligas nin en ĝin.	Ang masyadong kaingatan sa panganib ay kalimitang hinuhulog tayo doon.	por	0	0
Mi renkontis Rafaelon en la teejo Zuzu ĉi tie sur Fantazia Insulo en Sinonezio. Li ofte trinkas je Venti Latte Blu, kaj mi havas mezgrandan glacian verdan teon. Laŭdire Rafaelo estis ĉi tie en Sinonezio dum du jaroj per vizo de vizitanto, kaj li volas esti civitano ĉi tie. Li ŝatas la belecon en la naturo. Estas multaj bestoj kaj plantoj. Li ŝatas tropikajn fruktojn ĉiutage.	Natagpo ko si Rafael sa tsaahang Zuzu rito sa Isla Pantasya sa Sinonesia. Malimit siya nang Venti Latte Blu, at ako naman ay Mayelong Berdeng Tsaang Grande. Dalawang taon na raw si Rafael dito sa Sinonesia sa bisang pangbisita, at gusto niyang maging mamamayan dito. Nagagandahan siya sa kalikasan. Maraming hayop at halaman. Gusto niya ang mga bungang tropikal araw-araw.	ĉi	0	0
Tio estis verkita de Taro Akagawa.	Sinulat iyon ni Taro Akagawa.	tio	0	0
