Honey, are you OK?	Querida, está bem?	you	0	0
I need to find some new friends.	Eu preciso encontrar alguns amigos novos.	i	0	0
Tom wears a kilt when he plays the bagpipes.	Tom usa um kilt quando toca gaita de foles.	the	0	0
Everyone wants to go to heaven, but no one wants to die.	Todos querem ir pro céu; ninguém, porém, quer morrer.	to	0	0
I am not a doctor, but a teacher.	Eu não sou médico, mas professor.	a	0	0
In the beginning, love is usually simple. But then it can get pretty complicated.	No começo, geralmente, o amor é simples. Depois, porém, pode ficar bem complicado.	it	0	0
The government’s Medicines and Healthcare Products Regulatory Authority granted approval Wednesday for the vaccine, which Pfizer developed along with Germany’s BioNTech. The first vaccinations will begin next week, with staffers of the Britain’s National Health Service, nursing home residents and staffers expected to receive first priority.	A Autoridade Reguladora dos Medicamentos e Produtos de Cuidados de Saúde do governo aprovou na quarta-feira a vacina, desenvolvida pela Pfizer em conjunto com a empresa alemã BioNTech. As primeiras vacinações terão início na próxima semana, sendo que os funcionários do Serviço Nacional de Saúde britânico e os residentes e profissionais de lares de idosos deverão receber maior prioridade.	and	0	0
Mary told Tom that she'd be home on Monday.	Mary falou para o Tom que ela estaria em casa na segunda-feira.	that	0	0
I want to spend the rest of my life with Tom.	Quero passar o resto de minha vida com Tom.	of	0	0
Tom is a good skier.	O Tom é um bom esquiador.	is	0	0
At only 14 years old, Chinese golfer Guan Tianlang is set to become the youngest player ever to tee off at the prestigious Masters tournament in Augusta, Georgia, which begins Thursday.	Com apenas 14 anos de idade, o golfista chinês Guan Tianlang está prestes a tornar-se o jogador mais jovem de sempre a disputar o prestigioso torneio Masters em Augusta, na Geórgia, que começa na quinta-feira.	in	0	0
What? Seriously?	Oi? Sério?	what	0	0
And forgive us our trespasses, as we forgive them that trespass against us.	E perdoai-nos as nossas ofensas, assim como nós perdoamos a quem nos tem ofendido.	we	0	0
That doesn't help me.	Isso não me ajudou.	me	0	0
I'm not so good at this.	Eu não sou muito bom nisso.	this	0	0
Tom falls asleep as soon as he gets into bed.	O Tom cai no sono assim que se deita na cama.	he	0	0
This isn't for Tom.	Isso não é para o Tom.	for	0	0
My brothers' names are Axel, Hatus and Arthur Kalel.	Os nomes dos meus irmãos são Axel, Hatus e Arthur Kalel.	my	0	0
A couple of animals played on the meadow.	Alguns animais brincavam na campina.	on	0	0
What do you have planned for tonight?	Que é que a senhora planejou para hoje à noite?	have	0	0
How do you take your coffee, with or without sugar?	Como você quer o café? Com ou sem açúcar?	your	0	0
Tom and Mary said they'd do that for you.	Tom e Mary disseram que fariam isso por você.	do	0	0
She was afraid to travel alone.	Ela tinha medo de viajar sozinha.	was	0	0
But Mona had no thought for kettles, or tea, or granny either, for her whole mind, her eyes, her ears, and all her senses were with the heroine of the fascinating story she was absorbed in; and who could remember fires and kettles and other commonplace things when one was driving through a lovely park in a beautiful pony carriage, drawn by cream-coloured ponies, and seated beside an exquisitely dressed little lady who had more money than she could count, and insisted on sharing all with her companion?	Mas a Mona não pensava em chaleiras, nem em chá, nem sequer na avozinha, porque toda a sua mente, os seus olhos, os seus ouvidos e todos os seus sentidos estavam concentrados na heroína da história fascinante em que estava absorvida; e quem é que se pode lembrar de lumes e chaleiras e de outras coisas banais quando se está a passear por um parque encantador numa bonita carruagem puxada por póneis cor de creme e sentada ao lado de uma senhorita requintadamente vestida que tinha mais dinheiro do que podia contar e que insistia em partilhar tudo com a sua companheira?	no	0	0
He's not in.	Ele não está.	not	0	0
Music expresses that which cannot be said and on which it is impossible to be silent.	A música exprime o que não pode ser dito e a respeito do qual é impossível calar.	be	0	0
You are stepping over a line now.	Você está pisando sobre uma linha agora.	are	0	0
It doesn't take long for one of Don Hervig's two Harris's hawks to snare a squirrel.	Não demora muito tempo para um dos dois gaviões-asa-de-telha do Don Hervig apanhar um esquilo.	don	0	0
I'm pretty sure that Tom didn't know Mary was going to do that.	Eu tenho absoluta certeza que Tom não sabia que Mary foi fazer aquilo.	know	0	0
I don't think Tom can do that.	Eu não acho que Tom consiga fazer isso.	can	0	0
Sami always wanted to share his space with Layla.	Sami sempre quis dividir seu espaço com Layla.	with	0	0
I've tried talking her out a million times, but she definitely wants the divorce.	Eu já tentei falar com ela milhares de vezes, mas ela definitivamente quer a separação.	but	0	0
Tell me all about the trip you've made.	Conte-me tudo sobre a viagem que você fez.	all	0	0
You're so funny.	Você é tão engraçado!	so	0	0
I just wanted to tell you something.	Eu só queria te dizer uma coisa.	just	0	0
There is nothing like the dull thud of nylon on nylon.	Não há nada como o baque surdo de nylon em nylon.	there	0	0
There's a glass here.	Há um copo aqui.	here	0	0
They blotted out his name from the list.	Eles apagaram seu nome da lista.	they	0	0
You don't like it, do you?	Você não gosta disso, não é?	like	0	0
I'll get up early tomorrow.	Acordarei cedo amanhã.	get	0	0
She goes to the movies once a week.	Ela vai ao cinema uma vez por semana.	she	0	0
The city is quite near, one can go by bicycle.	A cidade está muito perto, dá para ir de bicicleta.	go	0	0
We both know what'll happen if we don't do what we're supposed to do.	Nós dois sabemos o que acontecerá se não fizermos o que devemos fazer.	if	0	0
Fadil shot Layla through the right eyebrow.	A bala disparada por Fadil perfurou a sobrancelha direita de Layla.	right	0	0
I stole your bag because I ran out of money.	Eu roubei sua bolsa por que eu estava sem dinheiro.	out	0	0
Tom doesn't like to talk about his past.	O Tom não gosta de falar sobre o seu passado.	about	0	0
Raise both of your arms up like this.	Levante os seus dois braços assim.	up	0	0
The work will be finished at six.	O trabalho estará feito às 18h.	at	0	0
Whatever he says, do not trust him.	O que quer que ele diga, não confie nele.	him	0	0
I remember it now.	Lembro-me agora.	now	0	0
Oh, I don't know if I agree with you.	Oh, eu não sei se concordo com você.	oh	0	0
There is no use crying for help. No one will hear you.	Não adianta chorar por ajuda. Ninguém vai ouvi-lo.	one	0	0
Who will come with us?	Quem virá conosco?	come	0	0
Well, I'll surely ask again.	Bom, eu certamente perguntarei de novo.	well	0	0
Sami asked Layla to straighten her hair.	Sami pediu a Layla para alisar os cabelos.	her	0	0
You need to try to understand how Tom feels.	Você precisa tentar entender como o Tom se sente.	how	0	0
"Do you promise?" "Yeah, I promise."	"Você promete?" "Sim, prometo."	yeah	0	0
What I'm about to tell you will be our secret.	O que lhes vou contar agora será nosso segredo.	will	0	0
Put this back where you got it.	Ponham de volta onde vocês a acharam.	got	0	0
Where do you want to sit?	Você quer se sentar onde?	want	0	0
